,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id,label
59792,59792,a60900,b1533,Kelly O's Diner,Pittsburgh,15222,115,40.4540482,-79.9814381,4,2400 Smallman St,0,GGEeGKUez_pGqYXtk-sKvQ,Pamela's P & G Diner,Pittsburgh,15222,978,40.452519,-79.984386,4.4,60 21st St$*$ Pittsburgh$*$ PA 15222,17037065,0,0
59901,59901,a62789,b1532,Eleven,Pittsburgh,15222,501,40.4460016,-79.9935003,4,1150 Smallman St,0,d2ZQRjuizstCTnicysmpMQ,Eleven,Pittsburgh,15222,1310,40.445903,-79.99342,4.4,1150 Smallman St$*$ Pittsburgh$*$ PA 15222,17036383,0,1
60064,60064,a65498,b1550,Lucy's,Pittsburgh,15222,38,40.4524729,-79.9815138,4.5,2216 Penn Ave,0,im2J4GZZdEl7s4o21D7rgw,Deluca's,Pittsburgh,15222,1153,40.451356,-79.983915,4.3,2015 Penn Ave$*$ Pittsburgh$*$ PA 15222,17036305,0,0
61055,61055,a80238,b1561,Live Nation,Pittsburgh,15222,3,40.440696,-80.0096926,3.5,101 Commonwealth Pl,0,JATyVVafFGQUV06XQYKVKQ,Chicken Latino,Pittsburgh,15222,411,40.4516755,-79.9830955,4.3,155 21st St$*$ Pittsburgh$*$ PA 15222,17037721,0,0
62068,62068,a97323,b1597,Nathan's Famous,Pittsburgh,15222,5,40.439226,-80.0017249,3,305 Wood St,0,lzjnPNA1ALVpWCo_ygRatw,Edgar's Tacos,Pittsburgh,15222,335,40.4514733,-79.9834212,4.1,2023 Penn Ave$*$ Pittsburgh$*$ PA 15222,17041732,0,0
63056,63056,a125355,b1577,Meat & Potatoes,Pittsburgh,15222,1249,40.44314459,-80.00110379,4,649 Penn Ave,0,JLbgvGM4FXh9zNP4O5ZWjQ,Meat & Potatoes,Pittsburgh,15222,1865,40.4431017,-80.0012236,4.2,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042327,0,1
63366,63366,a137821,b1577,Sol Pilates,Pittsburgh,15222,3,40.443611,-79.9980439,4,900 Penn Ave,0,VeYWXO1AaqIwpnyPUMckxQ,Meat & Potatoes,Pittsburgh,15222,1865,40.4431017,-80.0012236,4.2,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042327,0,0
64966,64966,a47093,b427,Thai Noodles,Fitchburg,53719,80,43.01497392,-89.4578836,3.5,5957 Mckee Rd$*$ Ste 3,0,56KQVyOg8eGtwLIgrV51NA,Saigon Noodle,Madison,53719,233,43.0567,-89.4977,4.2,6754 Odana Rd$*$ Madison$*$ WI 53719,17502587,0,0
65030,65030,a56447,b460,Quivey's Grove,Fitchburg,53719,117,43.00922,-89.4792573,3.5,6261 Nesbitt Rd,0,Zzvjuyxr1iudPN_heAAygw,Quivey's Grove,Madison,53719,266,43.0088,-89.481,4,6261 Nesbitt Rd$*$ Fitchburg$*$ WI 53719,17501797,0,1
65382,65382,a74555,b499,Ginza of Tokyo,Madison,53719,58,43.056628,-89.4989583,2.5,6734 Odana Rd,0,f1loh_1c_zp6P1Zv9KSaPg,Ginza of Tokyo West,Madison,53719,178,43.0567,-89.4973,3.9,6734 Odana Rd$*$ Madison$*$ WI 53719,17502221,0,1
66295,66295,a106567,b424,KLC Nails,Madison,53719,28,43.0499492,-89.474345,4,5509 Odana Rd,0,5842ijShUcmGq4Xb9VUIcQ,The Nile,Madison,53719,250,43.053326,-89.485676,4.3,6119 Odana Road$*$ Madison$*$ WI 53719,17503651,0,0
66607,66607,a134700,b499,China One West,Madison,53719,11,43.055135,-89.497286,2.5,518 Grand Canyon Dr,0,e-finkL51hroOJ0GZ8jcXA,Ginza of Tokyo West,Madison,53719,178,43.0567,-89.4973,3.9,6734 Odana Rd$*$ Madison$*$ WI 53719,17502221,0,0
66613,66613,a134701,b467,La Bamba,Madison,53719,49,43.0496415,-89.5032438,3,710 S Gammon Rd,0,VSu7GYn-Zln5TLZh_fMtvQ,La Mestiza,Madison,53719,200,43.0561,-89.4952,4,6644 Odana Road$*$ Madison$*$ WI 53719,17502327,0,0
67748,67748,a6250,b456,Takara Japanese Restaurant,Madison,53703,125,43.074663,-89.3907855,3.5,315 State St,0,mOzxFBAHWwpuH7u5xP0oHw,Lao Laan-Xang Restaurant,Madison,53703,198,43.0827,-89.3654,4.1,1146 Williamson St$*$ Madison$*$ WI 53703,17502331,0,0
69394,69394,a15112,b447,Jamerica Caribbean Restaurant,Madison,53703,51,43.0841543,-89.3633455,3.5,1236 Williamson St,0,rECtpzeqtOdR5gIWiXoGfQ,Bandung Indonesian Restaurant,Madison,53703,262,43.0763,-89.3756,4.1,600 Williamson St$*$ Madison$*$ WI 53703,17501972,0,0
69397,69397,a15112,b454,Jamerica Caribbean Restaurant,Madison,53703,51,43.0841543,-89.3633455,3.5,1236 Williamson St,0,rECtpzeqtOdR5gIWiXoGfQ,Wasabi Japanese Restaurant,Madison,53703,241,43.0747,-89.3925,4.1,449 State St Ste 2G$*$ Madison$*$ WI 53703,17502747,0,0
69398,69398,a15112,b456,Jamerica Caribbean Restaurant,Madison,53703,51,43.0841543,-89.3633455,3.5,1236 Williamson St,0,rECtpzeqtOdR5gIWiXoGfQ,Lao Laan-Xang Restaurant,Madison,53703,198,43.0827,-89.3654,4.1,1146 Williamson St$*$ Madison$*$ WI 53703,17502331,0,0
69399,69399,a15112,b468,Jamerica Caribbean Restaurant,Madison,53703,51,43.0841543,-89.3633455,3.5,1236 Williamson St,0,rECtpzeqtOdR5gIWiXoGfQ,Parthenon Gyros Restaurant,Madison,53703,174,43.0749,-89.3904,4,316 State St$*$ Madison$*$ WI 53703,17502488,0,0
69633,69633,a19240,b479,Palmyra Mediterranean Grill,Madison,53703,65,43.0748105,-89.3925202,3.5,419 State St,0,tTjXkqN-XVLIP3Vk9EozJg,Mediterranean Cafe,Madison,53703,127,43.0747,-89.3959,4,625 State St$*$ Madison$*$ WI 53703,17502390,0,0
70014,70014,a21962,b432,Bandung Indonesian Restaurant,Madison,53703,169,43.076604,-89.3745656,4,600 Williamson St$*$ Ste M,0,NiBzh0kHusvH5rdnpm7yVw,L'Etoile Restaurant,Madison,53703,334,43.075786,-89.383231,4.2,1 South Pinckney Street$*$ Madison$*$ WI 53703,17503345,0,0
71019,71019,a25832,b479,Mia Za's Italian Cafe,Madison,53703,49,43.074593,-89.394235,3,515 State St,0,hVzRXGGhRJfTXIasO3bq1w,Mediterranean Cafe,Madison,53703,127,43.0747,-89.3959,4,625 State St$*$ Madison$*$ WI 53703,17502390,0,0
71729,71729,a27531,b430,Remachines,Madison,53703,13,43.0751569,-89.3859884,4.5,30 W Mifflin St$*$ Ste 404,0,M62NaFd9m7s3_tpblXeszw,Sardine,Madison,53703,457,43.0761,-89.3751,4.2,617 Williamson St$*$ Madison$*$ WI 53703,17502592,0,0
72552,72552,a29068,b418,Ian's Pizza By The Slice,Madison,53703,152,43.0728935,-89.3956356,4,319 N Frances St,0,c7ZTyqSG4v4ZVwK3vuDklQ,Ian's Pizza,Madison,53703,515,43.0747352,-89.3862121,4.3,100 State St$*$ Madison$*$ WI 53703,17502268,0,0
72746,72746,a30446,b412,Ian's Pizza,Madison,53703,324,43.07489166,-89.38695031,4,100 State St,0,aVBFKYoF0AHuusNssaQpJA,Ian's Pizza by the Slice,Madison,53703,633,43.0725,-89.3956,4.4,319 N Frances St$*$ Madison$*$ WI 53703,17502267,0,0
73386,73386,a30917,b446,Kabul Restaurant,Madison,53703,142,43.075131,-89.394445,3.5,540 State St,0,IsADZMYEJKXTtPfN9YsiBA,Kabul Afghanistan Restaurant,Madison,53703,278,43.0747,-89.3943,4.1,540 State St$*$ Madison$*$ WI 53703,17502314,0,1
73387,73387,a30917,b447,Kabul Restaurant,Madison,53703,142,43.075131,-89.394445,3.5,540 State St,0,IsADZMYEJKXTtPfN9YsiBA,Bandung Indonesian Restaurant,Madison,53703,262,43.0763,-89.3756,4.1,600 Williamson St$*$ Madison$*$ WI 53703,17501972,0,0
73500,73500,a31028,b401,Shamrock Bar,Madison,53703,16,43.0724264,-89.3846318,4,117 W Main St,0,tQ_MIB36L7S-CkstRsBlEA,Ha Long Bay,Madison,53703,1028,43.085073,-89.361469,4.9,1353 Williamson St.$*$ Madison$*$ WI 53703,17503434,0,0
74175,74175,a31802,b441,Morris Ramen,Madison,53703,17,43.07475431,-89.38133508,4.5,106 King St,0,Woqed5Fw95J6oEZxIHiBgg,Cooper's Tavern,Madison,53703,319,43.075386,-89.38557,4.1,20 W. Mifflin$*$ Madison$*$ WI 53703,17503480,0,0
75208,75208,a36390,b469,Zander's Capitol Grill,Madison,53703,20,43.07502,-89.387246,2.5,118 State St,0,_GbNOc8E8i451vtHqIlk-A,Eldorado Grill,Madison,53703,211,43.0778,-89.3723,4,744 Williamson St$*$ Madison$*$ WI 53703,17502172,0,0
76383,76383,a41329,b432,Orpheum Lobby Restaurant,Madison,53703,20,43.0748942,-89.3886553,4,216 State St,0,qnuBmj3lL_S_QQOmTI9cfw,L'Etoile Restaurant,Madison,53703,334,43.075786,-89.383231,4.2,1 South Pinckney Street$*$ Madison$*$ WI 53703,17503345,0,0
76394,76394,a41329,b456,Orpheum Lobby Restaurant,Madison,53703,20,43.0748942,-89.3886553,4,216 State St,0,qnuBmj3lL_S_QQOmTI9cfw,Lao Laan-Xang Restaurant,Madison,53703,198,43.0827,-89.3654,4.1,1146 Williamson St$*$ Madison$*$ WI 53703,17502331,0,0
76395,76395,a41329,b468,Orpheum Lobby Restaurant,Madison,53703,20,43.0748942,-89.3886553,4,216 State St,0,qnuBmj3lL_S_QQOmTI9cfw,Parthenon Gyros Restaurant,Madison,53703,174,43.0749,-89.3904,4,316 State St$*$ Madison$*$ WI 53703,17502488,0,0
76647,76647,a41606,b432,Parthenon Gyros Restaurant,Madison,53703,116,43.075014,-89.390617,3.5,316 State St,0,skJ-AlN0DT9pmBDz0ixeJw,L'Etoile Restaurant,Madison,53703,334,43.075786,-89.383231,4.2,1 South Pinckney Street$*$ Madison$*$ WI 53703,17503345,0,0
76653,76653,a41606,b446,Parthenon Gyros Restaurant,Madison,53703,116,43.075014,-89.390617,3.5,316 State St,0,skJ-AlN0DT9pmBDz0ixeJw,Kabul Afghanistan Restaurant,Madison,53703,278,43.0747,-89.3943,4.1,540 State St$*$ Madison$*$ WI 53703,17502314,0,0
76713,76713,a41608,b432,Casbah Restaurant,Madison,53703,16,43.0749931,-89.3811037,3,119 E Main St,0,TAetQMOQ0MCHAZ4hacJrPQ,L'Etoile Restaurant,Madison,53703,334,43.075786,-89.383231,4.2,1 South Pinckney Street$*$ Madison$*$ WI 53703,17503345,0,0
76720,76720,a41608,b447,Casbah Restaurant,Madison,53703,16,43.0749931,-89.3811037,3,119 E Main St,0,TAetQMOQ0MCHAZ4hacJrPQ,Bandung Indonesian Restaurant,Madison,53703,262,43.0763,-89.3756,4.1,600 Williamson St$*$ Madison$*$ WI 53703,17501972,0,0
76725,76725,a41608,b468,Casbah Restaurant,Madison,53703,16,43.0749931,-89.3811037,3,119 E Main St,0,TAetQMOQ0MCHAZ4hacJrPQ,Parthenon Gyros Restaurant,Madison,53703,174,43.0749,-89.3904,4,316 State St$*$ Madison$*$ WI 53703,17502488,0,0
77127,77127,a41937,b496,King of Falafel,Madison,53703,9,43.07347,-89.394823,4,453 W Gilman St,0,CQNq2sgLokwOVf4OL-19Hg,Sunroom Cafe,Madison,53703,176,43.07499,-89.395985,3.9,638 State St$*$ Madison$*$ WI 53703,17503348,0,0
77487,77487,a42381,b479,Mediterranean Cafe,Madison,53703,166,43.0748734,-89.3964524,4.5,625 State St,0,oezMXnkdUQMuMH7RuKaiyw,Mediterranean Cafe,Madison,53703,127,43.0747,-89.3959,4,625 State St$*$ Madison$*$ WI 53703,17502390,0,1
77703,77703,a42583,b432,Chautara Restaurant,Madison,53703,52,43.0748088,-89.3910219,3.5,334 State St,0,RJdV7djZZeH3jJadPhgVvw,L'Etoile Restaurant,Madison,53703,334,43.075786,-89.383231,4.2,1 South Pinckney Street$*$ Madison$*$ WI 53703,17503345,0,0
77714,77714,a42583,b456,Chautara Restaurant,Madison,53703,52,43.0748088,-89.3910219,3.5,334 State St,0,RJdV7djZZeH3jJadPhgVvw,Lao Laan-Xang Restaurant,Madison,53703,198,43.0827,-89.3654,4.1,1146 Williamson St$*$ Madison$*$ WI 53703,17502331,0,0
77778,77778,a42585,b453,Cafe Social,Madison,53703,3,43.0697329,-89.393678,4,102 N Bedford St Madison Wi,0,3EkVn5_YsP0q6LvMfTsVuQ,Natt Spil,Madison,53703,267,43.0745,-89.3799,4.1,211 King St$*$ Madison$*$ WI 53703,17503325,0,0
77999,77999,a42870,b430,Square Wine Co,Madison,53703,26,43.075907,-89.383048,5,5 N Pinckney St,0,ADn5O4AEid21nYmNDtsRLw,Sardine,Madison,53703,457,43.0761,-89.3751,4.2,617 Williamson St$*$ Madison$*$ WI 53703,17502592,0,0
78172,78172,a43108,b447,Vientiane Palace Restaurant,Madison,53703,86,43.0754787,-89.3904163,3.5,151 W Gorham St,0,dfHA5n6e3f58nMCNHt589Q,Bandung Indonesian Restaurant,Madison,53703,262,43.0763,-89.3756,4.1,600 Williamson St$*$ Madison$*$ WI 53703,17501972,0,0
80974,80974,a62999,b443,608 Restaurant and Bar,Madison,53703,24,43.0747764,-89.3886148,3,212 State St,0,I0R4EIBhG1_-vKxOKiIbfQ,Restaurant Muramoto,Madison,53703,435,43.0745,-89.3797,4.1,225 King St$*$ Madison$*$ WI 53703,17502566,0,0
81086,81086,a63532,b494,Pel'meni,Madison,53703,11,43.0746726,-89.3939651,4,505 State St,0,6mqfcZI2I6Y8QGBPiFAsnQ,Bellini,Madison,53703,202,43.0773,-89.38,3.9,401 E Washington Ave$*$ Madison$*$ WI 53703,17501978,0,0
81210,81210,a64083,b453,MadCat Pet Supply,Madison,53703,35,43.081184,-89.3677077,5,1012 Williamson St,0,f5QhYrr6uSf-SMlMaXUhsg,Natt Spil,Madison,53703,267,43.0745,-89.3799,4.1,211 King St$*$ Madison$*$ WI 53703,17503325,0,0
81297,81297,a64806,b418,Domino's Pizza,Madison,53703,16,43.0735746,-89.3929228,2.5,409 W Gorham St,0,JexI9opGP2n_Xv6IKnN0Bg,Ian's Pizza,Madison,53703,515,43.0747352,-89.3862121,4.3,100 State St$*$ Madison$*$ WI 53703,17502268,0,0
82163,82163,a70829,b444,The Robin Room,Madison,53703,19,43.0836078,-89.3771076,4.5,821 E Johnson St,0,i_r5yf-WrVJbMZWyOTv6UQ,The Roman Candle,Madison,53703,303,43.0815,-89.3671,4.1,1054 Williamson St Ste A$*$ Madison$*$ WI 53703,17502578,0,0
82543,82543,a74600,b402,The Great Dane,Madison,53703,604,43.07444548,-89.38006371,4,123 E Doty St,0,EgtyW19V-64c6PmRuvzSEA,The Old Fashioned,Madison,53703,1610,43.076277,-89.383534,4.8,23 N Pinckney St$*$ Madison$*$ WI 53703,17502451,0,0
83148,83148,a79323,b432,Nick's Restaurant,Madison,53703,67,43.0750082,-89.3891551,3.5,226 State St,0,zERyZLsAyB47bMZlfUV-SQ,L'Etoile Restaurant,Madison,53703,334,43.075786,-89.383231,4.2,1 South Pinckney Street$*$ Madison$*$ WI 53703,17503345,0,0
83159,83159,a79323,b456,Nick's Restaurant,Madison,53703,67,43.0750082,-89.3891551,3.5,226 State St,0,zERyZLsAyB47bMZlfUV-SQ,Lao Laan-Xang Restaurant,Madison,53703,198,43.0827,-89.3654,4.1,1146 Williamson St$*$ Madison$*$ WI 53703,17502331,0,0
84737,84737,a101939,b444,In The Company Of Thieves,Madison,53703,14,43.0847458,-89.376172,3,908 E Johnson St,0,x8h3A9dOKux99qAp6Bakbg,The Roman Candle,Madison,53703,303,43.0815,-89.3671,4.1,1054 Williamson St Ste A$*$ Madison$*$ WI 53703,17502578,0,0
85029,85029,a103824,b432,Bellini Italian Restaurant,Madison,53703,70,43.077324,-89.3799049,3.5,401 E Washington Ave,0,zi_qqjCzkerE2dT-ViE2JA,L'Etoile Restaurant,Madison,53703,334,43.075786,-89.383231,4.2,1 South Pinckney Street$*$ Madison$*$ WI 53703,17503345,0,0
85062,85062,a104063,b432,Maharani Restaurant,Madison,53703,169,43.0719143,-89.389124,3.5,380 W Washington Ave,0,FMMNajth88mWX76QVp6N9Q,L'Etoile Restaurant,Madison,53703,334,43.075786,-89.383231,4.2,1 South Pinckney Street$*$ Madison$*$ WI 53703,17503345,0,0
85068,85068,a104063,b446,Maharani Restaurant,Madison,53703,169,43.0719143,-89.389124,3.5,380 W Washington Ave,0,FMMNajth88mWX76QVp6N9Q,Kabul Afghanistan Restaurant,Madison,53703,278,43.0747,-89.3943,4.1,540 State St$*$ Madison$*$ WI 53703,17502314,0,0
85123,85123,a104065,b414,Underground Kitchen,Madison,53703,32,43.0768356,-89.3833003,3.5,127 E Mifflin St,0,0zxn5cFZaH3F_0UsiI0SjQ,Marigold Kitchen,Madison,53703,576,43.0744,-89.3819,4.4,118 S Pinckney St$*$ Madison$*$ WI 53703,17502369,0,0
85918,85918,a106010,b426,Hawk's Bar & Grill,Madison,53703,60,43.074609,-89.392719,3,425 State St,0,8iRfD5IizYki0F8QlAlL2g,Samba Brazilian Grill,Madison,53703,628,43.0759,-89.3923,4.2,240 W Gilman St$*$ Madison$*$ WI 53703,17502590,0,0
86145,86145,a107284,b413,Johnson Public House,Madison,53703,132,43.084781,-89.376208,4,908 E Johnson St,0,yvqMh9kTv3Kx-tocc0DFBQ,Tornado Steak House,Madison,53703,646,43.0726,-89.3844,4.4,116 S Hamilton St$*$ Madison$*$ WI 53703,17502709,0,0
86348,86348,a107533,b430,Cardinal Bar,Madison,53703,20,43.0757858,-89.3771603,4,418 E Wilson St,0,5CO0Rt3R2avUFdK1nUloog,Sardine,Madison,53703,457,43.0761,-89.3751,4.2,617 Williamson St$*$ Madison$*$ WI 53703,17502592,0,0
86594,86594,a108585,b477,Porter,Madison,53703,8,43.06815722,-89.3949048,4.5,640 W Washington Ave$*$ Ste 101,0,3Z4pcWY2xnyZumGmsoXIVA,Forequarter,Madison,53703,157,43.0822485,-89.3796342,4,708 1/4 E Johnson St$*$ Madison$*$ WI 53703,17503797,0,0
86789,86789,a108985,b456,Gino's Restaurant,Madison,53703,37,43.075131,-89.394445,3.5,540 State St,0,KAhavksKQwKbMzZHiNOyOQ,Lao Laan-Xang Restaurant,Madison,53703,198,43.0827,-89.3654,4.1,1146 Williamson St$*$ Madison$*$ WI 53703,17502331,0,0
86978,86978,a110208,b440,Gap,Madison,53703,3,43.074701,-89.391395,3,341 State St,0,pdYxpGt67hN31DAkKszI8Q,Graze,Madison,53703,469,43.075444,-89.382871,4.1,1 S Pinckney Street$*$ Madison$*$ WI 53703,17503559,0,0
88211,88211,a123839,b477,Forequarter,Madison,53703,204,43.0822686,-89.3796148,4,708 E Johnson,0,hOxNKZJ8wWg8Q165U7CCqg,Forequarter,Madison,53703,157,43.0822485,-89.3796342,4,708 1/4 E Johnson St$*$ Madison$*$ WI 53703,17503797,0,1
88449,88449,a125097,b401,Barolo Wine Bar,Madison,53703,17,43.08107652,-89.37392052,4,829 E Washington Ave,0,NUTVC8LoicZmcsO10Jmolg,Ha Long Bay,Madison,53703,1028,43.085073,-89.361469,4.9,1353 Williamson St.$*$ Madison$*$ WI 53703,17503434,0,0
88632,88632,a126597,b446,Lao Laan-Xang Restaurant,Madison,53703,232,43.083166,-89.364985,4.5,1146 Williamson St,0,VMPSdoBgJuyS9t_x_caTig,Kabul Afghanistan Restaurant,Madison,53703,278,43.0747,-89.3943,4.1,540 State St$*$ Madison$*$ WI 53703,17502314,0,0
88636,88636,a126597,b454,Lao Laan-Xang Restaurant,Madison,53703,232,43.083166,-89.364985,4.5,1146 Williamson St,0,VMPSdoBgJuyS9t_x_caTig,Wasabi Japanese Restaurant,Madison,53703,241,43.0747,-89.3925,4.1,449 State St Ste 2G$*$ Madison$*$ WI 53703,17502747,0,0
88638,88638,a126597,b468,Lao Laan-Xang Restaurant,Madison,53703,232,43.083166,-89.364985,4.5,1146 Williamson St,0,VMPSdoBgJuyS9t_x_caTig,Parthenon Gyros Restaurant,Madison,53703,174,43.0749,-89.3904,4,316 State St$*$ Madison$*$ WI 53703,17502488,0,0
88896,88896,a131582,b446,Buraka Restaurant,Madison,53703,40,43.0836473,-89.3642491,3.5,1210 Williamson Street,0,qaa9M_pUfOv0BPRcnulk4g,Kabul Afghanistan Restaurant,Madison,53703,278,43.0747,-89.3943,4.1,540 State St$*$ Madison$*$ WI 53703,17502314,0,0
88900,88900,a131582,b454,Buraka Restaurant,Madison,53703,40,43.0836473,-89.3642491,3.5,1210 Williamson Street,0,qaa9M_pUfOv0BPRcnulk4g,Wasabi Japanese Restaurant,Madison,53703,241,43.0747,-89.3925,4.1,449 State St Ste 2G$*$ Madison$*$ WI 53703,17502747,0,0
88902,88902,a131582,b468,Buraka Restaurant,Madison,53703,40,43.0836473,-89.3642491,3.5,1210 Williamson Street,0,qaa9M_pUfOv0BPRcnulk4g,Parthenon Gyros Restaurant,Madison,53703,174,43.0749,-89.3904,4,316 State St$*$ Madison$*$ WI 53703,17502488,0,0
89227,89227,a139875,b447,Crandall's Peruvian Restaurant & Catering,Madison,53703,34,43.074922,-89.39103,3.5,334 State St,0,lUBlgJ-rDDdwpi6d38L2tg,Bandung Indonesian Restaurant,Madison,53703,262,43.0763,-89.3756,4.1,600 Williamson St$*$ Madison$*$ WI 53703,17501972,0,0
89583,89583,a142910,b432,Bahn Thai Restaurant,Madison,53703,57,43.0806833,-89.3684867,3.5,944 Williamson St,0,cCBySJPR4i7WFfEt8gjArg,L'Etoile Restaurant,Madison,53703,334,43.075786,-89.383231,4.2,1 South Pinckney Street$*$ Madison$*$ WI 53703,17503345,0,0
89589,89589,a142910,b446,Bahn Thai Restaurant,Madison,53703,57,43.0806833,-89.3684867,3.5,944 Williamson St,0,cCBySJPR4i7WFfEt8gjArg,Kabul Afghanistan Restaurant,Madison,53703,278,43.0747,-89.3943,4.1,540 State St$*$ Madison$*$ WI 53703,17502314,0,0
90197,90197,a102712,b3501,South India Cuisine,Mayfield Heights,44124,14,41.519728,-81.459214,4,6110 Mayfield Rd,0,kTJEf56gjzBSpi9X14X54Q,Bangkok Thai Cuisine,Cleveland,44124,580,41.52008,-81.486536,4.9,5359 Mayfield Rd$*$ Cleveland$*$ OH 44124,16959188,0,0
91250,91250,a81843,b3580,Hot Locks Salon,Westlake,44145,6,41.4209443,-81.9652789,3,31130 Center Ridge Rd,0,132kYoXPHORw_FgxvQfyGQ,Moosehead Saloon,Cleveland,44145,362,41.476831,-81.921328,4.2,694 Dover Center Rd$*$ Westlake$*$ OH 44145,16961797,0,0
91478,91478,a110470,b3580,Lobster Bros Seafood,Westlake,44145,14,41.4687351,-81.9084238,4,26055 Detroit Rd,0,hTdV1_Xn1j6yhpIR7CgCJQ,Moosehead Saloon,Cleveland,44145,362,41.476831,-81.921328,4.2,694 Dover Center Rd$*$ Westlake$*$ OH 44145,16961797,0,0
91646,91646,a140420,b3580,Moxie Salon,Westlake,44145,6,41.457282,-81.898707,5,25060 Ctr Ridge Rd,0,7BIMKg5DAVi_vHNBd7pmiA,Moosehead Saloon,Cleveland,44145,362,41.476831,-81.921328,4.2,694 Dover Center Rd$*$ Westlake$*$ OH 44145,16961797,0,0
91659,91659,a141527,b3568,Mitchell's Homemade Ice Cream - Westlake,Westlake,44145,41,41.4681412,-81.9097584,5,26161 Detroit Rd,0,#NAME?,Mitchell's Homemade Ice Cream,Cleveland,44145,223,41.468942,-81.909851,4.2,26161 Detroit Rd$*$ Westlake$*$ OH 44145,16961777,0,1
94353,94353,a72064,b3582,Pizza House,Cleveland,44118,7,41.5157788,-81.5686335,3.5,3108 Mayfield Rd,0,sYMAijY2oRrd71KRHKoIDA,Pizza Bogo,Cleveland,44118,408,41.501181,-81.55688,4.2,13434 Cedar Road$*$ Cleveland Heights$*$ OH 44118,16964460,0,0
95297,95297,a131477,b3564,Pacific East Japanese Restaurant,Cleveland Heights,44118,279,41.511462,-81.5796791,4,1763 Coventry Rd,0,APPZiUz_CEvR_--qY-tbig,Pacific East Japanese,Cleveland,44118,614,41.511515,-81.579816,4.2,1763 Coventry Rd$*$ Cleveland Heights$*$ OH 44118,16962117,0,1
95717,95717,a33615,b2346,The Crpe,Las Vegas,89145,179,36.1671901,-115.2855925,3.5,420 S Rampart Blvd$*$ Ste 150,0,9Rs7n2LbINBN8kLbScjhmA,Bagel Cafe,Las Vegas,89145,379,36.176043,-115.260161,4.3,301 North Buffalo Drive$*$ Summerlin$*$ Las Vegas$*$ NV 89145,16977466,0,0
96147,96147,a102560,b2346,The Game,Las Vegas,89145,27,36.1691517,-115.2913521,3.5,Suncoast Hotel & Casino$*$ 9090 Alta Dr,0,nO2mE8gLNxi1Fsm6bZsn-g,Bagel Cafe,Las Vegas,89145,379,36.176043,-115.260161,4.3,301 North Buffalo Drive$*$ Summerlin$*$ Las Vegas$*$ NV 89145,16977466,0,0
96165,96165,a107007,b2346,Promenade Cafe,Las Vegas,89145,57,36.175747,-115.2917528,2.5,The Resort at Summerlin$*$ 221 N  Rampart Blvd,0,QvC9BTeewBxMgdUadFglKw,Bagel Cafe,Las Vegas,89145,379,36.176043,-115.260161,4.3,301 North Buffalo Drive$*$ Summerlin$*$ Las Vegas$*$ NV 89145,16977466,0,0
96187,96187,a112468,b2346,Vape City,Las Vegas,89145,26,36.1597889,-115.2452232,4,1025 S Rainbow Blvd,0,dKh_zKhqTgBbPC6T_ezhXg,Bagel Cafe,Las Vegas,89145,379,36.176043,-115.260161,4.3,301 North Buffalo Drive$*$ Summerlin$*$ Las Vegas$*$ NV 89145,16977466,0,0
96455,96455,a14256,b2345,Sushi Loca,Las Vegas,89149,340,36.2725325,-115.2667252,3.5,6181 Centennial Center Blvd,0,HfuIfYB_CxMAAJiEnxDl9w,Sushi Loca,Las Vegas,89149,558,36.2724,-115.2655,4.3,6181 Centennial Center Bl$*$ Las Vegas$*$ NV 89149,16981092,0,1
98776,98776,a33304,b437,Spinners Pizza,Stoughton,53589,5,42.91747,-89.247405,3,2125 McComb Rd$*$ Ste 110,0,QR2V_Iutb9tEoXVBYPo-Kw,Famous Yeti's Pizza,Madison,53589,162,42.9266576,-89.2225748,4.2,971 N Page St$*$ Stoughton$*$ WI 53589,17503758,0,0
98810,98810,a79634,b437,Nello's Pizza,Stoughton,53589,3,42.9245113,-89.2297253,4,135 W Main St,0,papMvgFSTh3hBb8junt7CA,Famous Yeti's Pizza,Madison,53589,162,42.9266576,-89.2225748,4.2,971 N Page St$*$ Stoughton$*$ WI 53589,17503758,0,0
101307,101307,a40762,b1585,Mallorca Restaurant,Pittsburgh,15203,192,40.428215,-79.973327,3.5,2228 E Carson St,0,ODTI9W7fHMKNWZ3g8VcFUg,Emiliano's Mexican Restaurant & Bar,Pittsburgh,15203,758,40.427767,-79.968944,4.2,2557 E. Carson St$*$ Pittsburgh$*$ PA 15203,17041338,0,0
103646,103646,a13219,b539,Cactus Jack's Bar & Grill,Phoenix,85044,45,33.34836966,-111.9833856,3.5,4747 E Elliot Rd$*$ Ste 3,0,rBqek2924sBTjW1qE2ci2Q,Sakana Sushi & Grill,Phoenix,85044,327,33.348763,-111.97668,4.2,5061 East Elliot Road$*$ Ahwatukee$*$ Phoenix$*$ AZ 85044,17029025,0,0
