,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id,predicted
110340,110340,a43737,b562,Yard House,Phoenix,85050,387,33.67623404,-111.9711773,3.5,21001 North Tatum Blvd,0,p9v9Sl2g_ibaajWvO0NjkQ,Yard House,Phoenix,85050,241,33.676937,-111.977134,4.1,21001 N Tatum Blvd$*$ Phoenix$*$ AZ 85050,17030053,0,1
110534,110534,a62729,b584,Tryst Cafe,Phoenix,85050,440,33.677854,-111.978579,3.5,21050 N Tatum Blvd,0,2DmTw0k3bcXuHdAyxO_bkw,Tryst Cafe,Phoenix,85050,223,33.678139,-111.977666,4,21050 North Tatum Boulevard$*$ AZ 85050,17032211,0,1
111315,111315,a103742,b548,Angie & Jimmie's Italian Pizza,Phoenix,85017,76,33.5109932,-112.1328012,4,3446 W Camelback Rd,0,e-gVqGEtnjEkunvQ5J3uyA,Angie & Jimmie's Italian Pizza,Phoenix,85017,192,33.495114,-112.127032,4.2,3126 West Indian School Road$*$ Midtown$*$ Phoenix$*$ AZ 85017,17025063,0,1
112298,112298,a106461,b384,P F Chang's,Charlotte,28210,133,35.146916,-80.827256,3,6809 Phillips Place Ct,0,EbgUkmDxPUa2fr0rc8EFJQ,P.F. Chang's,Charlotte,28210,912,35.146581,-80.827175,4.1,6809 Phillips Place Court$*$ NC 28210,17147887,0,1
112309,112309,a107120,b315,Original Pancake House,Charlotte,28210,152,35.14839312,-80.83341645,4,4736 Sharon Rd,0,NI3xvN6p0qhvUkKirbKokA,Original Pancake House,Charlotte,28210,604,35.147255,-80.831618,4.5,4736 Sharon Road$*$ Charlotte$*$ NC 28210,17147876,0,1
112416,112416,a117610,b354,Cafe Monte,Charlotte,28210,310,35.147139,-80.828793,4,6700 Fairview Rd,0,tCSlpwJQ4CZsUEMZeH2SFg,Cafe Monte,Charlotte,28210,852,35.147713,-80.829113,4.2,6700 Fairview Road$*$Suite 108$*$ Charlotte$*$ NC 28210,17148534,0,1
112874,112874,a129442,b523,Pho Thanh,Phoenix,85015,582,33.5100117,-112.0960331,4,1702 W Camelback Rd$*$ Ste 14,0,gQMAcDm8kv8ev7x2BshMwg,Pho Thanh,Phoenix,85015,267,33.509737,-112.095796,4.3,1702 West Camelback Road$*$ Midtown$*$ Phoenix$*$ AZ 85015,17028517,0,1
113039,113039,a9123,b559,America's Taco Shop,Phoenix,85006,379,33.470887,-112.064765,3.5,2041 N 7th St,0,WOz66UuVsfc2K9GxzfDnGg,America's Taco Shop,Phoenix,85006,270,33.470124,-112.064945,4.1,2041 North 7th Street$*$ Phoenix$*$ AZ 85006,17030463,0,1
113240,113240,a38272,b549,Barrio Caf,Phoenix,85006,1047,33.4790158,-112.0479886,4,2814 N 16th St,0,eS29S_06lvsDW04wVrIVxg,Barrio Cafe,Phoenix,85006,781,33.478778,-112.047817,4.1,2814 North 16th Street$*$ Midtown$*$ Phoenix$*$ AZ 85006,17025256,0,1
113325,113325,a65404,b551,La Santisima,Phoenix,85006,1253,33.469201,-112.047393,4.5,1919 N 16th St,0,frCxZS7lPhEnQRJ3UY6m7A,La Santisima Gourmet Taco Shop,Phoenix,85006,250,33.469201,-112.047393,4.1,1919 North 16th Street$*$ Midtown$*$ Phoenix$*$ AZ 85006,17031685,0,1
114084,114084,a88894,b586,Rosita's Place,Phoenix,85006,260,33.4660268,-112.0323718,4,2310 E Mcdowell Rd,0,iIjVO7cLD1UEmIO7G05Ujw,Rosita's Place,Phoenix,85006,219,33.465937,-112.032071,4,2310 East McDowell Road$*$ East Phoenix$*$ Phoenix$*$ AZ 85006,17028962,0,1
114916,114916,a136982,b561,Tuck Shop,Phoenix,85006,466,33.4728423,-112.0560979,4.5,2245 N 12th St,0,-Bdw-5H5C4AYSMGnAvmnzw,Tuck Shop,Phoenix,85006,299,33.472027,-112.056223,4.1,2245 North 12th Street$*$ Midtown$*$ Phoenix$*$ AZ 85006,17030385,0,1
114954,114954,a137969,b541,The Main Ingredient Ale House And Caf,Phoenix,85006,509,33.47458269,-112.0646431,4,2337 N 7th St,0,MgHWbwuxxb_txhI3lK_bKg,The Main Ingredient Ale House & Cafe,Phoenix,85006,231,33.473709,-112.064954,4.2,2337 North 7th Street$*$ Midtown$*$ Phoenix$*$ AZ 85006,17031649,0,1
115054,115054,a2141,b2350,Chicken Shack,Henderson,89014,338,36.0721935,-115.0729977,4,4606 E Sunset Rd,0,aqwn3jdQLCWnb59gHK4nAw,The Chicken Shack,Las Vegas,89014,219,36.071137,-115.073086,4.3,4606 E Sunset Rd$*$ Henderson$*$ NV 89014,16977903,0,1
115149,115149,a7792,b2344,In-N-Out Burger,Henderson,89014,150,36.0633628,-115.0339166,4,1051 W Sunset Rd,0,kxYiZnd7Y-3ibdwnMFuTzw,In-N-Out Burger,Las Vegas,89014,455,36.063586,-115.034151,4.3,1051 W Sunset Rd$*$ Henderson$*$ NV 89014,16981245,0,1
116080,116080,a62132,b2311,Weiss Restaurant Deli & Bakery,Henderson,89014,418,36.06983431,-115.0800352,4,2744 N Green Valley Pkwy,0,k7Sy557_ZaQSGHFlZgeJzw,Weiss Restaurant Deli and Bakery,Las Vegas,89014,466,36.070154,-115.082157,4.6,2744 N Green Valley Parkway$*$ Henderson$*$ NV 89014,16980881,0,1
117091,117091,a82674,b2374,Ross J's Aloha Grill,Henderson,89014,388,36.071403,-115.072358,4,4650 E Sunset Rd$*$ Ste A,0,SueEpC916vd8Lo3Lyl9_pQ,Ross J's Aloha Grill,Las Vegas,89014,272,36.071117,-115.072436,4.2,4650 E Sunset Rd$*$ Henderson$*$ NV 89014,16980089,0,1
118963,118963,a9746,b3543,Joe's Deli,Rocky River,44116,173,41.4712991,-81.8350803,4,19215 Hilliard Blvd,0,sWucpMb_MDdqAthWFFisow,Joe's Deli,Cleveland,44116,594,41.471463,-81.835295,4.3,19215 Hilliard Blvd$*$ Rocky River$*$ OH 44116,16961179,0,1
119284,119284,a125734,b3525,Danny Boy's Pizza,Rocky River,44116,106,41.482986,-81.845433,4,20251 Lake Rd,0,2VEa7rpo68KG0_5pBj0dFA,Danny Boy's Pizza,Cleveland,44116,560,41.483504,-81.845139,4.4,20251 Lake Rd$*$ Rocky River$*$ OH 44116,16960045,0,1
119514,119514,a69993,b2343,Pin Kaow Thai Restaurant,Las Vegas,89108,469,36.195393,-115.241323,4,1974 N Rainbow Blvd,0,elqbBhBfElMNSrjFqW3now,Pin Kaow Thai,Las Vegas,89108,520,36.194967,-115.241882,4.3,1974 N Rainbow Boulevard$*$ Las Vegas$*$ NV 89108,16979782,0,1
119857,119857,a5682,b2365,Vintner Grill,Las Vegas,89135,521,36.160122,-115.31731,4,10100 W Charleston Blvd$*$ Ste 150,0,qmymSqVwHYRqdwfcBatzpQ,Vintner Grill,Las Vegas,89135,514,36.15919,-115.316661,4.2,10100 W Charleston Blvd$*$ Las Vegas$*$ NV 89135,16980853,0,1
120453,120453,a67271,b2317,BJ's Restaurant & Brewhouse,Las Vegas,89135,430,36.159552,-115.331914,4,10840 West Charleston,0,OVTY-NpcTA7iXbMQmusv3A,BJ's Restaurant and Brewhouse,Las Vegas,89135,718,36.159237,-115.331597,4.5,10840 W Charleston Blvd$*$ Las Vegas$*$ NV 89135,16977581,0,1
121022,121022,a140798,b2375,Due Forni,Las Vegas,89135,410,36.1248405,-115.3252217,4,3555 S Town Center Dr$*$ Ste 105,0,bPcqucuuClxYrIM8xWoArg,Due Forni,Las Vegas,89135,311,36.125885,-115.324674,4.2,3555 South Town Center Drive #105$*$ Summerlin South$*$ Las Vegas$*$ NV 89135,16982235,0,1
121066,121066,a125744,b2367,Leticia's Mexican Cocina,Las Vegas,89143,821,36.29887519,-115.2800882,4,7585 Norman Rockwell Ln$*$ Bldg 1,0,pomGBqfbxcqPv14c3XH-ZQ,Leticia's Cocina,Las Vegas,89143,481,36.298924,-115.280107,4.2,7585 Norman Rockwell Lane$*$ Las Vegas$*$ NV 89143,16981606,0,1
121070,121070,a276,b3592,Zappitelli's Pizza,Mentor,44060,38,41.681422,-81.2962052,4,9570 Mentor Ave,0,O54jXbKjZte4qVYabYjGjg,Zappitelli's,Cleveland,44060,239,41.682048,-81.29663,4.2,9570 Mentor Ave$*$ Mentor$*$ OH 44060,16963406,0,1
121351,121351,a71437,b3589,Scooter's Dawghouse,Mentor,44060,78,41.724476,-81.294445,4.5,9600 Blackbrook Rd,0,nEMUUOvFB2Vi90uiF4rlCg,Scooters Dawghouse,Cleveland,44060,268,41.72447,-81.294857,4.2,9600 Blackbrook Rd$*$ Mentor$*$ OH 44060,16962693,0,1
122098,122098,a17977,b507,Los Reyes De La Torta,Phoenix,85020,533,33.5708402,-112.0656524,4.5,9230 N 7th St,0,2g4ZTD3ePNSbDAvh6qAOKQ,Los Reyes de la Torta,Phoenix,85020,469,33.570743,-112.065364,4.6,9230 North 7th Street$*$ Sunnyslope/North Mountain$*$ Phoenix$*$ AZ 85020,17027656,0,1
124101,124101,a138815,b595,Super Dragon,Phoenix,85020,117,33.5530686,-112.0560674,4,1212 E Northern Ave,0,SVMR0kRmdd-bbSNTTECJBA,Super Dragon,Phoenix,85020,167,33.553237,-112.055993,4,1212 East Northern Avenue$*$ Sunnyslope/North Mountain$*$ Phoenix$*$ AZ 85020,17029461,0,1
126444,126444,a3438,b2329,Ellis Island Casino & Brewery,Las Vegas,89109,1758,36.1130255,-115.1634847,4,4178 Koval Ln,0,EAwh1OmG6t6p3nRaZOW_AA,Ellis Island Casino and Brewery,Las Vegas,89109,408,36.113064,-115.163809,4.4,4178 Koval Lane$*$ Las Vegas$*$ NV 89109,16978312,0,1
128308,128308,a5384,b2357,Maggiano's Little Italy,Las Vegas,89109,1068,36.12760705,-115.1685336,4,3200 Las Vegas Blvd S,0,LFs5jyYdXlzi0SpAYi1eSA,Maggiano's Little Italy,Las Vegas,89109,524,36.127544,-115.168233,4.2,3200 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89109,16979247,0,1
129547,129547,a5967,b2301,Mon Ami Gabi,Las Vegas,89109,6414,36.11282706,-115.1725815,4,3655 Las Vegas Blvd S,0,4JNXUYY8wbaaDmk3BPzlWw,Mon Ami Gabi,Las Vegas,89109,2553,36.1125,-115.172222,4.9,3655 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16979446,0,1
133442,133442,a9862,b2326,L'Atelier de Jol Robuchon,Las Vegas,89109,886,36.10259007,-115.1705414,4.5,3799 Las Vegas Blvd S,0,mUdalYTuAtnZm2K9zoH27Q,L'Atelier de Jol Robuchon,Las Vegas,89109,411,36.10222,-115.169516,4.4,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979023,0,1
133449,133449,a9862,b2339,L'Atelier de Jol Robuchon,Las Vegas,89109,886,36.10259007,-115.1705414,4.5,3799 Las Vegas Blvd S,0,mUdalYTuAtnZm2K9zoH27Q,Jol Robuchon,Las Vegas,89109,289,36.10222,-115.169516,4.3,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978909,0,1
135308,135308,a12631,b2357,Dino's Little Italy,Las Vegas,89109,6,36.106542,-115.17204,2,3743 Las Vegas Blvd,0,yniif9v-2PpVIbsotxv6OA,Maggiano's Little Italy,Las Vegas,89109,524,36.127544,-115.168233,4.2,3200 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89109,16979247,0,1
137193,137193,a14331,b2337,Joe's Seafood Prime Steak & Stone Crab,Las Vegas,89109,1691,36.11864532,-115.1736291,4.5,The Forum Shop At Caesars Palace$*$ 3500 Las Vegas Blvd S$*$ Ste R-05,0,I6EDDi4-Eq_XlFghcDCUhw,Joe's Seafood$*$ Prime Steak & Stone Crab,Las Vegas,89109,730,36.116111,-115.1744,4.3,3500 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978884,0,1
138580,138580,a16077,b2308,Jean Philippe Patisserie,Las Vegas,89109,1178,36.10681461,-115.178175,4,3730 Las Vegas Blvd S,0,H8qpFitIesth86zqR4cwYg,Jean-Philippe Ptisserie,Las Vegas,89109,358,36.107635,-115.176722,4.6,3730 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16981693,0,1
138581,138581,a16077,b2309,Jean Philippe Patisserie,Las Vegas,89109,1178,36.10681461,-115.178175,4,3730 Las Vegas Blvd S,0,H8qpFitIesth86zqR4cwYg,Jean-Philippe Ptisserie,Las Vegas,89109,353,36.111712,-115.17534,4.6,3600 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978840,0,1
153395,153395,a53965,b2330,Tacos El Gordo,Las Vegas,89109,1831,36.13159421,-115.1647668,4,3049 S Las Vegas Blvd,0,RwMLuOkImBIqqYj4SSKSPg,Tacos el Gordo,Las Vegas,89109,222,36.1317765,-115.1650152,4.4,3049 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16982474,0,1
155001,155001,a56184,b2324,Julian Serrano,Las Vegas,89109,1429,36.10585591,-115.1742626,4,3730 Las Vegas Blvd S,0,_w5hBpkjHs5_Hv3pLeHtIw,Julian Serrano,Las Vegas,89109,514,36.107635,-115.176722,4.4,3730 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16981685,0,1
159298,159298,a61832,b2304,Earl of Sandwich,Las Vegas,89109,103,36.1177242,-115.1758364,3,3570 Las Vegas Blvd S,0,fE7x3Ui2mzdwdfJnd7r_1g,Earl of Sandwich,Las Vegas,89109,631,36.11077,-115.17282,4.7,Planet Hollywood$*$ 3667 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978241,0,1
162528,162528,a67050,b2327,Spago,Las Vegas,89109,944,36.11909409,-115.1770096,4,The Forum Shops At Caesars$*$ 3500 Las Vegas Blvd S$*$ Ste G1,0,LwQB9H3jZ9wTk24Lr-AnZQ,Spago,Las Vegas,89109,513,36.116111,-115.1744,4.4,3500 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16980318,0,1
162751,162751,a67056,b2364,Fiamma Trattoria & Bar,Las Vegas,89109,694,36.10156,-115.172953,4,3799 Las Vegas Blvd S,0,dCUuzw3R2rPqKyN2Zl9zRw,Fiamma Trattoria & Bar,Las Vegas,89109,217,36.10222,-115.169516,4.2,MGM Grand$*$ 3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978398,0,1
165051,165051,a70470,b2334,Gordon Ramsay BurGR,Las Vegas,89109,5116,36.110724,-115.172169,4,3667 Las Vegas Blvd S,0,cYwJA2A6I12KNkm2rtXd5g,Gordon Ramsay BurGR,Las Vegas,89109,773,36.11077,-115.17282,4.3,3667 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16982906,0,1
167303,167303,a73398,b2390,The Buffet,Las Vegas,89109,3676,36.12688722,-115.16559,3.5,Wynn Las Vegas$*$ 3131 Las Vegas Blvd S,0,2weQS-RnoOBhb1KsHKyoSQ,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,1
167910,167910,a73708,b2308,Jean Philippe Patisserie,Las Vegas,89109,1046,36.11194592,-115.1768768,4,3600 S Las Vegas Blvd,0,UUGoM4q4i8rK2CBRS0xDAw,Jean-Philippe Ptisserie,Las Vegas,89109,358,36.107635,-115.176722,4.6,3730 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16981693,0,1
167911,167911,a73708,b2309,Jean Philippe Patisserie,Las Vegas,89109,1046,36.11194592,-115.1768768,4,3600 S Las Vegas Blvd,0,UUGoM4q4i8rK2CBRS0xDAw,Jean-Philippe Ptisserie,Las Vegas,89109,353,36.111712,-115.17534,4.6,3600 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978840,0,1
168490,168490,a73751,b2361,SW Steakhouse,Las Vegas,89109,883,36.12616708,-115.1668137,4,3131 Las Vegas Blvd S,0,L_ZLtfHvfzfoNVQ0-okTXg,SW Steakhouse,Las Vegas,89109,314,36.129444,-115.166111,4.2,3131 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89109,16980119,0,1
170025,170025,a74515,b2341,Le Cirque,Las Vegas,89109,548,36.11312656,-115.175263,4.5,3600 S Las Vegas Blvd,0,rtlsfmdufArhk-47sWIf2w,Le Cirque,Las Vegas,89109,243,36.111712,-115.17534,4.3,3600 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979122,0,1
170376,170376,a74671,b2342,La Creperie,Las Vegas,89109,427,36.11252664,-115.1713514,3.5,3655 Las Vegas Blvd S,0,6fPQJq4f_yiq1NHn0fd11Q,La Creperie,Las Vegas,89109,300,36.1125,-115.172222,4.3,3655 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16979034,0,1
171107,171107,a75043,b2336,The Cheesecake Factory,Las Vegas,89109,496,36.11886434,-115.1781065,4,3500 South Las Vegas Blvd.,0,#NAME?,The Cheesecake Factory,Las Vegas,89109,352,36.1179352,-115.1748371,4.3,3500 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89109,16977880,0,1
172549,172549,a75453,b2359,Wolfgang Puck Bar & Grill,Las Vegas,89109,1282,36.102543,-115.169884,4,3799 S Las Vegas Blvd,0,N0apJkxIem2E8irTBRKnHw,Wolfgang Puck Bar & Grill,Las Vegas,89109,336,36.10222,-115.169516,4.2,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16980959,0,1
173352,173352,a75916,b2356,Olives,Las Vegas,89109,1543,36.111978,-115.17698,4,3600 S Las Vegas Blvd,0,QJR4qBUHegWEozSQrGmBPw,Olives,Las Vegas,89109,630,36.111712,-115.17534,4.2,3600 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979590,0,1
174416,174416,a76235,b2399,Eiffel Tower Restaurant,Las Vegas,89109,1314,36.112477,-115.172189,4,3655 Las Vegas Blvd S,0,xVEtGucSRLk5pxxN0t4i6g,Eiffel Tower Restaurant,Las Vegas,89109,420,36.1125,-115.172222,4.1,3655 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978254,0,1
174563,174563,a76240,b2313,Mesa Grill,Las Vegas,89109,2771,36.11712457,-115.1747927,4,3570 Las Vegas Blvd S,0,XZbuPXdyA0ZtTu3AzqtQhg,Mesa Grill,Las Vegas,89109,1410,36.116111,-115.1744,4.5,3570 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979381,0,1
176792,176792,a76854,b2394,Delmonico Steakhouse,Las Vegas,89109,1311,36.123183,-115.16919,4,3355 Las Vegas Blvd S,0,--9e1ONYQuAa-CB_Rrw7Tw,Delmonico Steakhouse,Las Vegas,89109,714,36.121,-115.1702,4.1,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978142,0,1
177144,177144,a76976,b2396,Battista's Hole In the Wall,Las Vegas,89109,813,36.115471,-115.1679198,3.5,4041 Linq Ln,0,yNVcnSaMSrTmjJBMrHTy9w,Battista's Hole in the Wall,Las Vegas,89109,587,36.114988,-115.168072,4.1,4041 Linq Lane$*$ The Strip$*$ Las Vegas$*$ NV 89109,16977523,0,1
188564,188564,a82884,b2314,Grand Lux Cafe,Las Vegas,89109,962,36.123618,-115.17033,4,PALAZZO Resort Hotel Casino$*$ 3327 Las Vegas Blvd S$*$ Ste 1580,0,fHM09_y3QX3n4a_bIFbk_w,Grand Lux Cafe,Las Vegas,89109,1022,36.121,-115.1702,4.5,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978572,0,1
189090,189090,a83177,b2321,Wicked Spoon,Las Vegas,89109,5216,36.10987566,-115.1751638,3.5,The Cosmopolitan Of Las Vegas$*$ 3708 Las Vegas Blvd S,0,K7lWdNUhCbcnEvI0NhGewg,Wicked Spoon,Las Vegas,89109,670,36.108303,-115.173302,4.4,3708 Las Vegas Boulevard South$*$ Las Vegas$*$ NV 89109,16982135,0,1
189542,189542,a83248,b2312,The Peppermill Restaurant & Fireside Lounge,Las Vegas,89109,2260,36.13361303,-115.163122,4,2985 Las Vegas Blvd S,0,XXW_OFaYQkkGOGniujZFHg,Peppermill Restaurant & Fireside Lounge,Las Vegas,89109,696,36.133165,-115.163963,4.5,2985 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89109,16979737,0,1
193800,193800,a86144,b2392,P.F. Chang's,Las Vegas,89109,440,36.10995195,-115.1736737,3.5,3667 Las Vegas Blvd,0,Knnc473zh8m7IBC0oLTHkg,P.F. Chang's China Bistro,Las Vegas,89109,374,36.11077,-115.17282,4.1,3667 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979642,0,1
198174,198174,a90175,b2391,Hash House A Go Go,Las Vegas,89109,3881,36.11788299,-115.1712445,4,The LINQ Hotel & Casino$*$ 3535 Las Vegas Blvd S,0,f4x1YBxkLrZg652xt2KR5g,Hash House a Go Go,Las Vegas,89109,696,36.118212,-115.172554,4.1,3535 Las Vegas Blvd S$*$ Las Vegas$*$ NV 89109,16981709,0,1
203897,203897,a108756,b2326,Jol  Robuchon,Las Vegas,89109,777,36.103399,-115.167725,4.5,3799 Las Vegas Blvd S,0,XnJeadLrlj9AZB8qSdIR2Q,L'Atelier de Jol Robuchon,Las Vegas,89109,411,36.10222,-115.169516,4.4,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979023,0,1
203904,203904,a108756,b2339,Jol  Robuchon,Las Vegas,89109,777,36.103399,-115.167725,4.5,3799 Las Vegas Blvd S,0,XnJeadLrlj9AZB8qSdIR2Q,Jol Robuchon,Las Vegas,89109,289,36.10222,-115.169516,4.3,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978909,0,1
205329,205329,a116402,b2314,Grand Lux Cafe,Las Vegas,89109,2218,36.12227644,-115.1701225,4,The Venetian Hotel & Casino$*$ 3355 Las Vegas Blvd S,0,NvKNe9DnQavC9GstglcBJQ,Grand Lux Cafe,Las Vegas,89109,1022,36.121,-115.1702,4.5,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978572,0,1
207283,207283,a123062,b2304,Earl of Sandwich,Las Vegas,89109,4655,36.109361,-115.171877,4.5,3667 Las Vegas Blvd S,0,DkYS3arLOhA8si5uUEmHOw,Earl of Sandwich,Las Vegas,89109,631,36.11077,-115.17282,4.7,Planet Hollywood$*$ 3667 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978241,0,1
208470,208470,a123999,b2397,TAO Asian Bistro,Las Vegas,89109,1228,36.12273527,-115.1700286,3.5,The Venetian$*$ 3355 S Las Vegas Blvd,0,fQt4D34vcJNtEf8Q4zte3w,Tao Asian Bistro,Las Vegas,89109,502,36.121,-115.1702,4.1,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16980571,0,1
215778,215778,a130076,b2390,The SLS Buffet,Las Vegas,89109,62,36.1427564,-115.1578748,3.5,SLS Las Vegas$*$ 2535 S Las Vegas Blvd,0,SnMUTGhY2nW2Ldb0QJAjAg,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,1
218719,218719,a29240,b393,Beef 'N Bottle,Charlotte,28209,222,35.179294,-80.876098,3.5,4538 South Blvd,0,1MvR4NJQbHy0i7ME1IoYpw,Beef & Bottle,Charlotte,28209,427,35.180147,-80.875999,4.1,4538 South Boulevard$*$ Charlotte$*$ NC 28209,17146734,0,1
218863,218863,a31834,b379,Luisa's Brick Oven,Charlotte,28209,85,35.170641,-80.84658,4,1730 Abbey Pl,0,n5wZxYrle8ROuK-Saq-yyw,Luisa's Brick Oven,Charlotte,28209,205,35.169379,-80.847447,4.2,Montford Abbey$*$ 1730 Abbey Place$*$ Charlotte$*$ NC 28209,17147653,0,1
218903,218903,a33201,b340,Good Food on Montford,Charlotte,28209,444,35.1709488,-80.8483245,4.5,1701 Montford Dr,0,hggVnGwA5042-ABxqeJX-A,Good Food on Montford,Charlotte,28209,545,35.170842,-80.848583,4.3,1701 Montford Drive$*$ Charlotte$*$ NC 28209,17149639,0,1
219429,219429,a54422,b347,Portofino's,Charlotte,28209,152,35.1604695,-80.8500527,4,5126 Park Rd$*$ Ste 1c,0,w3PwDEbI0EDx4YI_BkFhIA,Portofino's,Charlotte,28209,495,35.160682,-80.849083,4.3,5126 Park Road$*$ Suite 1C$*$ Charlotte$*$ NC 28209,17147988,0,1
219711,219711,a78580,b386,Cantina 1511,Charlotte,28209,398,35.1735755,-80.84993108,3.5,4271 Park Rd$*$ Ste B,0,k-drEjxKmfqllwfY90STfA,Cantina 1511,Charlotte,28209,999,35.20023,-80.841894,4.1,4721 Park Road Suite B$*$ Charlotte$*$ NC 28209,17146869,0,1
220281,220281,a118235,b325,The Roasting Company,Charlotte,28209,226,35.1708615,-80.8496225,4,1601 Montford Dr,0,mOMeDQB8NjdBTTzKtikAYg,Roasting Company,Charlotte,28209,511,35.170767,-80.849556,4.4,1521 Montford Drive$*$ Charlotte$*$ NC 28209,17148071,0,1
220886,220886,a20112,b2340,Hofbruhaus Las Vegas,Las Vegas,89169,1149,36.10775703,-115.1516913,3.5,4510 Paradise Rd,0,cJWbbvGmyhFiBpG_5hf5LA,Hofbrauhaus Las Vegas,Las Vegas,89169,435,36.107728,-115.151824,4.3,4510 Paradise Rd$*$ Las Vegas$*$ NV 89169,16978679,0,1
221350,221350,a27348,b305,The Lodge,Charlotte,28226,63,35.106407,-80.8077349,4,7725 Colony Rd,0,yxLVwItd1Wnhy6SeUUcNYA,The Lodge,Charlotte,28226,691,35.107536,-80.807886,4.7,7725 Colony Road Suite 4$*$ Charlotte$*$ NC 28226,17149641,0,1
221824,221824,a20427,b459,Angelo's,Monona,53716,22,43.0567319,-89.326138,3,5801 Monona Dr,0,OTDogJk9hVcM0oT_ia_09g,Angelo's,Madison,53716,146,43.0567319,-89.326138,4,5801 Monona Dr$*$ Madison$*$ WI 53716,17502928,0,1
222281,222281,a116408,b483,David's Jamaican Cuisine,Monona,53716,55,43.0569909,-89.32527,4,5734 Monona Dr,0,UDyScSvpzBEgOGs6HAXcRg,David's Jamaican Cuisine,Madison,53716,127,43.0578,-89.3256,4,5734 Monona Dr$*$ Monona$*$ WI 53716,17502937,0,1
222372,222372,a8588,b375,The Dive N,Pineville,28134,75,35.0859529,-80.8870612,4,109 N Polk St,0,opBoB-pMHzUaK0-zsnUd1Q,Dive N,Charlotte,28134,237,35.085348,-80.886904,4.2,109 N Polk Street$*$ NC 28134,17149803,0,1
225336,225336,a128734,b545,Wang Express,Phoenix,85032,65,33.6399,-111.9781637,3.5,4747 E Bell Rd$*$ Ste 19,0,fseN-tYwcbjtYm7DjjEjLw,Wang's Express,Phoenix,85032,227,33.640363,-111.978884,4.2,4747 East Bell Road$*$ Northeast Phoenix$*$ Phoenix$*$ AZ 85032,17029944,0,1
225368,225368,a128987,b600,40th Street Cafe,Phoenix,85032,123,33.6273462,-111.995345,4,4022 E Greenway Rd$*$ Ste 10,0,gQg_z_bqR9Lp9oLuv659YA,40th Street Cafe,Phoenix,85032,188,33.626603,-111.995192,4,4022 E Greenway Rd$*$ Phoenix$*$ AZ 85032,17024955,0,1
225388,225388,a129069,b598,Saba's Mediterranean Kitchen,Phoenix,85032,209,33.639783,-111.97826,4.5,4747 E Bell Rd,0,len2nrEtgD9bjnoYSyLPjA,Saba's Mediterranean Cuisine,Phoenix,85032,210,33.640363,-111.978884,4,4747 East Bell Road$*$ Northeast Phoenix$*$ Phoenix$*$ AZ 85032,17029003,0,1
